ciudad,clave_ciudad,entidad,indice_resiliencia,robo_mercancias,esc_buenDesempeno,mortalidad_infantil,tasa_suicidios,agresiones_periodistas,muerte_infIntes,areaVerde_percapita,empl_formales,viv_deshabitadas,densidad_pobl,sal_trabTiemCompl,gini_salarial,diversif_econ,desempleo,trans_masivo,tarjetasDebCred,ciudad_front,pib,ingresos_propios
Puerto Vallarta,21,Jalisco,100,99.9626835,0.18852459,12.47660636,6.007261578,1,2.402904631,0.454429724,0.496166189,0.292290512,58.83272179,7941.077592,0.3725,540,0.094315682,2,1.428870961,1,29236229.65,0.435969327
Toluca,23,México,90,146.2515572,0.260590501,13.68082794,4.810377331,3,3.752094318,1.260065889,0.460223892,0.168424654,58.72346413,5485.895468,0.3756,736,0.05011251,1,1.640295992,0,350364327.4,0.28195483
Zamora-Jacona,25,Michoacán,100,46.87947168,0,13.30862534,1.903297272,0,1.903297272,0.341556367,0.433600165,0.221721181,70.9510307,5271.560608,0.3865,480,0.037974544,2,1.59722262,0,15577901.45,0.199230691
Morelia,24,Michoacán,91.66666667,91.39776871,0,7.219591082,1.676880734,3,2.794801223,1.885641524,0.496726392,0.272899244,79.22221999,6618.76951,0.379666667,662,0.053775463,0,1.754681549,0,53875770.9,0.403114847
Uruapan,67,Michoacán,75,45.68806062,0,5.715027926,4.83711031,0,2.418555155,1.533880761,0.403502851,0.160922863,70.38972052,6476.117874,0.358,537,0.020645004,2,1.300123608,0,13473597.69,0.171556169
Cuautla,28,Morelos,83.33333333,51.5358925,0.162844037,9.300359332,4.069820992,1,2.570413258,0.05364881,0.312791136,0.303576381,50.34056602,4460.681129,0.2995,527,0.044820486,2,1.076086017,0,31416763.04,0.256579279
Cuernavaca,27,Morelos,93.75,48.64235715,0.214622642,9.291007632,1.647493956,3,1.956399072,0.731703123,0.405843312,0.284182313,54.37088173,5474.562216,0.287125,661,0.047094737,0,1.69938114,0,122219837.4,0.366495032
Tepic,29,Nayarit,100,26.27266784,0.283333333,10.22446821,7.569875357,4,5.407053826,0.213926543,0.501109754,0.20199938,84.50069348,6627.959893,0.3985,577,0.064641606,2,2.768849972,0,28124134.42,0.20335458
Monterrey,30,Nuevo León,96.15384615,46.52560842,0.303815695,9.894767972,4.281572613,2,2.004140372,3.15988063,0.655090226,0.185818962,60.90416393,7547.354904,0.415,851,0.058021822,3,2.374847949,0,1435987498,0.410960712
Oaxaca,31,Oaxaca,89.77272727,57.38884237,0,9.863052579,4.164899155,9,3.085110486,0.271664597,0.397039504,0.197805477,47.70918806,6124.428279,0.377590909,615,0.042405452,1,2.27111577,0,30165790.26,0.159125355
Tehuantepec-Salina Cruz,32,Oaxaca,66.66666667,31.2090794,0,5.420918367,1.764591703,4,1.764591703,0.024154035,0.46861369,0.190320654,39.08771652,7821.21409,0.378,388,0.066090277,2,1.495027572,1,232066488.4,0.092068641
Puebla-Tlaxcala,33,Puebla,87.17948718,61.60544457,0.354094077,11.83009131,4.93712417,33,1.79531788,0.644242902,0.423532664,0.189410911,46.72950117,5714.183986,0.351974359,794,0.052544372,3,1.437012805,0,456974942.4,0.320345387
Tehuacán,34,Puebla,75,83.789215,0.479166667,10.74993601,5.082424974,0,1.79379705,0.273858816,0.378198005,0.185847228,52.07778411,4807.651333,0.305,520,0.084304702,2,1.278043395,0,21118143.43,0.241316542
Querétaro,35,Querétaro,87.5,80.54998167,0.304100228,9.607781117,4.257935933,0,2.047084583,1.282286461,0.622345315,0.206621111,79.70078439,6748.241564,0.364,725,0.060719307,1,1.815646068,0,293204024.6,0.473443444
