ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
La Paz,Baja California Sur,2011,0.97,0,0.36,0.21,2.08,83.98,2,1.92,3,100,5,40277.88,0.02,1.12,1,0.01,0.29,0.12,0.2,0.02,2,0.41,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2011,0.94,0,0.41,0.24,2.01,90.52,2,1.92,1,100,4,34200.72,0.03,0.89,0,0,0.85,0.43,0.27,0.02,2,0.39,22,2,0,0.39,0.79
Campeche,Campeche,2011,0.93,0,0.59,0.4,3,334.37,3,0.48,0,100,2,25651.07,0,0,1,0,0.22,0.77,0.16,0.01,2,0.81,4,3,0,0.34,0.76
Ciudad del Carmen,Campeche,2011,0.89,0,0.41,0.34,3.01,110.87,4.67,0.19,1,75,1,14185.64,0.02,9.91,0,0.01,0.27,0.9,0.18,0.01,2,0.67,6,3,0,0.31,0.84
Saltillo,Coahuila,2011,0.97,0,0.54,0.32,2.03,4.66,4.33,1.85,2,91.67,20,9651.3,0.02,1.39,3,0,3.81,0.49,0.18,0,1,0.5,6,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2011,0.99,0,0.4,0.21,2.16,150.18,4.67,1.9,1,100,13,30568.75,0.01,0.25,3,0.01,2.24,0.98,0.12,0,2,1,0,0,0,0.41,0.85
La Laguna,Coahuila,2011,0.93,0,0.64,0.44,2,114.06,4.33,2.53,8,100,13,12489.54,0.01,1.47,5.5,0,2.61,0.64,0.22,0,1,0.89,10,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2011,0.99,0,0.41,0.21,3,76.66,4,1.96,3,100,8,20781.89,0.01,0.46,3,0,1.54,0.48,0.21,0,2,1,3,0,0.02,0.42,0.84
Tecomán,Colima,2011,0.94,0,0.42,0.19,3,133.35,4,2.48,0,75,7,38108.53,0,3.11,1,0,0.49,0.88,0.17,0.01,2,0.68,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2011,0.99,0,0.62,0.36,2.48,186.78,4,2.89,0,95,15,35530.83,0.05,0.88,1.4,0,2.56,0.47,0.22,0.01,2,0.54,4,3,0.05,0.41,0.86
Manzanillo,Colima,2011,0.95,0,0.47,0.28,2.89,11.95,4,2.29,0,100,3,50576.64,0.01,1.73,1,0.01,0.4,0.49,0.25,0.02,2,0.68,10,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2011,0.96,0,0.46,0.41,3.43,90.82,3,1.17,1,75,4,23987.1,0.01,0.35,2.67,0.05,1.19,0.3,0.16,0,0,0.51,9,3,0,0.21,0.73
Tapachula,Chiapas,2011,0.74,0,0.56,0.42,3,55.49,4,0.77,0,75,5,29603.15,0,0.75,2,0.02,0.09,0.26,0.17,0.01,2,0.39,2,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2011,0.99,0,0.5,0.24,2.25,202.47,3.67,4.38,8,100,9,21567.44,0.02,2.43,2.33,0.01,2.18,0.27,0.21,0.01,2,0.73,15,6,0.04,0.51,0.79
Juárez,Chihuahua,2011,1,1,0.44,0.23,2.09,98.5,3.33,2.76,3,100,5,24538.17,0.02,3.23,3,0.01,2.01,0.74,0.25,0,1,0.43,6,6,0,0.39,0.73
Valle de México,Ciudad de México,2011,0.99,1,0.47,0.64,2.05,99.05,2.33,0.59,28,94.08,32,5442.05,0.03,0.25,11.96,0.01,1.43,0.41,0.14,0,3,0.6,28,33,0.12,0.19,0.59
Durango,Durango,2011,0.97,1,0.48,0.35,2.28,111.83,3,4.51,0,100,7,24103.63,0.1,1.13,4,0,1.75,0.36,0.18,0.02,1,0.45,7,2,0.01,0.32,0.84
Celaya,Guanajuato,2011,0.98,0,0.6,0.36,2,91.94,1.33,0.03,2,91.67,4,28065.01,0.08,0.35,7.33,0.03,0.55,0.27,0.2,0.01,0,0.39,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2011,0.88,0,0.56,0.37,2,131.68,1.67,0.57,0,100,1,46265.85,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2011,0.95,0,0.62,0.42,2,102.5,2.33,0.93,2,100,1,24357.93,0.06,0.42,11,0,0.04,0.65,0.17,0.01,0,0.36,0,2,0,0.26,0.8
León,Guanajuato,2011,0.99,0,0.64,0.5,2,149.04,1.33,1.65,5,75,6,15733.31,0.08,0.31,11,0.04,1.15,0.35,0.17,0.01,3,0.37,15,7,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2011,0.91,0,0.6,0.39,2,51.71,3,1.07,0,87.5,5,23467.79,0.11,0,2.5,0.11,0.34,0.35,0.24,0,2,0.29,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2011,0.97,0,0.68,0.43,2,61.04,1.67,0.05,0,100,4,27023.3,0.12,0,6.5,0,0.3,0.48,0.2,0.01,2,0.33,0,0,0.01,0.25,0.89
Acapulco,Guerrero,2011,0.8,0,0.52,0.33,3.04,186.3,3,2.65,4,62.5,5,41910.57,0,0.8,3,0.03,0.3,0.37,0.29,0,2,0.17,18,8,0,0.11,0.69
Chilpancingo,Guerrero,2011,0.87,0,0.46,0.33,3.1,36.63,3,1.01,0,75,8,25342.65,0.01,0,4,0.15,0.07,0.1,0.19,0,2,0.23,0,2,0.01,0.15,0.85
Tula,Hidalgo,2011,0.94,0,0.63,0.45,2.48,84.46,2.33,0,4,100,0,32407.68,0.09,4.66,4,0.01,0.3,0.01,0.23,0,2,0.82,0,4,0,0.21,0.8
Tulancingo,Hidalgo,2011,0.96,0,0.59,0.43,2.22,45.39,3,0.1,2,91.67,3,36364.42,0.06,0,2,0.03,0.16,0.47,0.23,0,2,0.4,0,2,0.05,0.19,0.8
Pachuca,Hidalgo,2011,0.96,0,0.51,0.4,2.07,39.09,1.67,0.01,3,100,7,28644.89,0.07,0.62,4,0.01,1.34,0.13,0.31,0,1,0.46,0,4,0,0.27,0.77
Guadalajara,Jalisco,2011,1,0,0.49,0.4,2.06,33.37,3,0.64,7,96.88,2,13742.38,0.08,1.96,11,0.04,1.47,0.21,0.19,0.01,3,0.78,21,18,0.05,0.29,0.68
Puerto Vallarta,Jalisco,2011,0.99,0,0.46,0.35,3,126.33,4,4.12,0,100,2,38572.84,0.01,0.38,3,0,0.45,0.17,0.29,0.01,2,0.61,20,8,0,0.25,0.78
Toluca,Mexico,2011,0.9,0,0.65,0.59,2,57.89,3,1.31,0,90,1,6339.62,0.04,2.39,11,0.01,1.26,0.31,0.17,0.01,1,0.45,7,10,0.03,0.21,0.69
Zamora-Jacona,Michoacan,2011,0.99,0,0.62,0.33,2,42,4,1.3,0,100,5,18547.34,0.1,0.33,1,0,0.34,0.13,0.22,0.01,2,0.84,0,1,0,0.26,0.86
Morelia,Michoacan,2011,0.96,0,0.58,0.48,2.12,114.62,3,1.43,5,91.67,5,19508.57,0.13,0.22,2.67,0.01,1.89,0.21,0.27,0,0,0.66,10,9,0.02,0.27,0.72
Uruapan,Michoacan,2011,0.98,0,0.52,0.36,3.14,87.66,4.67,1.32,0,75,0,22014.39,0.06,0.82,1,0,1.53,0.1,0.16,0,2,0.81,1,2,0,0.27,0.82
Cuautla,Morelos,2011,0.94,0,0.67,0.45,2,95.09,2.67,2.08,0,83.33,2,22003.45,0.02,0,4,0.18,0.05,0.27,0.3,0,2,0.69,0,1,0,0.17,0.79
Cuernavaca,Morelos,2011,0.96,1,0.68,0.51,2.06,212.98,2.67,1.59,3,93.75,2,13268.33,0.02,1.67,4.13,0.01,0.73,0.27,0.28,0,0,0.89,0,10,0.04,0.24,0.72
Tepic,Nayarit,2011,0.96,0,0.55,0.31,3,113.42,4,2.39,1,100,1,17458.4,0.04,0.46,4,0,0.21,0.24,0.2,0,2,0.28,3,2,0.03,0.3,0.82
Monterrey,Nuevo Leon,2011,0.99,1,0.45,0.24,2.02,39.81,4.33,2.03,15,96.15,45,14742.22,0.01,0.6,9,0,3.16,0.32,0.19,0.01,3,1.58,19,13,0.01,0.37,0.65
Oaxaca,Oaxaca,2011,0.97,0,0.62,0.59,3,77.57,2,1.08,2,89.77,49,18833.37,0.02,0.18,1.18,0.06,0.27,0.11,0.2,0,1,0,10,2,0.01,0.2,0.74
Tehuantepec-Salina Cruz,Oaxaca,2011,0.73,0,0.53,0.42,3,2.01,3,1.41,4,66.67,12,39681.65,0,4.47,1,0,0.02,0.46,0.19,0,2,0,0,1,0,0.13,0.87
Puebla-Tlaxcala,Puebla,2011,0.96,1,0.66,0.51,2.88,69.05,2.33,0.98,10,87.18,27,13702.69,0.04,2.17,4.46,0.03,0.64,0.45,0.19,0,2,0.55,8,4,0.01,0.19,0.7
Tehuacán,Puebla,2011,0.93,0,0.64,0.48,3,56.98,1.67,0,0,75,0,13961.56,0.03,0.52,4,0.08,0.27,0.57,0.19,0,2,0,0,0,0,0.13,0.86
Querétaro,Queretaro,2011,0.99,0,0.58,0.47,2.02,86.38,1,1.48,5,87.5,4,10093.81,0.07,1.25,5,0,1.28,0.21,0.21,0,1,0.67,7,16,0.01,0.36,0.74
San Juan del Río,Queretaro,2011,0.98,0,0.68,0.46,2,97.8,3,1.93,6,100,2,14637.62,0.06,2.84,2,0,0.7,0.51,0.22,0,2,0.56,0,4,0.07,0.24,0.78
Cancún,Quintana Roo,2011,0.95,1,0.52,0.41,3,153.09,3,2.09,0,87.5,0,32130.94,0.01,0.44,4,0,2.15,0.3,0.23,0.01,1,1.53,41,1,0.05,0.27,0.7
Chetumal ,Quintana Roo,2011,0.84,0,0.49,0.44,3.09,253.1,4,0.74,0,75,0,93311.47,0.02,1.49,4,0,0.2,0.25,0.17,0.01,2,0.34,2,2,0,0.39,0.9
Rioverde-Ciudad Fernández,San Luis Potosi,2011,0.76,0,0.64,0.43,3.06,73.04,4,1.1,0,75,3,37806.72,0.02,1.01,1,0,0.22,0.09,0.21,0,2,0.49,0,0,0.05,0.22,0.93
San Luis Potosí-Soledad,San Luis Potosi,2011,0.98,0,0.53,0.4,2.02,92.52,4.33,1.8,4,100,4,17364.88,0.06,0.9,3,0,3.01,0.43,0.19,0.01,1,0.93,13,15,0,0.35,0.77
Los Mochis,Sinaloa,2011,0.95,0,0.38,0.21,3,129.44,4,2.42,5,100,3,32922.82,0.01,1.3,0,0,0.92,0.39,0.21,0.01,2,0.15,3,2,0,0.39,0.85
Culiacán,Sinaloa,2011,0.96,1,0.32,0.19,2.44,187.22,3.67,2.75,2,100,2,32778.68,0.01,0.44,1,0,1.32,0.32,0.22,0.01,1,0.36,8,2,0.04,0.42,0.81
Mazatlán,Sinaloa,2011,0.97,0,0.43,0.27,3,332.09,3.33,2.04,4,100,6,28924.81,0.01,2.05,0,0,0.78,0.43,0.22,0.01,2,0.38,13,4,0,0.3,0.81
Ciudad Obregón ,Sonora,2011,0.96,0,0.37,0.21,2.02,242.68,4.33,3.96,2,100,4,29760.64,0.01,0.42,1,0.02,0.23,0.44,0.21,0.01,2,1,5,4,0,0.36,0.85
Guaymas,Sonora,2011,0.87,0,0.35,0.23,2,72.55,4.33,0.94,2,100,10,37525.18,0.01,2.56,1,0,0.02,0.31,0.22,0.01,2,1,1,7,0,0.32,0.83
Hermosillo,Sonora,2011,0.98,0,0.41,0.24,2.08,769.4,3.67,0.46,1,100,2,11801.29,0.01,0.82,1,0,0.12,0.39,0.21,0.01,1,1,12,7,0,0.51,0.82
Cárdenas,Tabasco,2011,0.49,0,0.45,0.32,3.78,88.45,4,1.51,2,75,5,936.97,0,0.89,2,0,0.23,0.15,0.12,0,2,0.75,0,0,0.13,0.15,0.82
Villahermosa,Tabasco,2011,0.93,0,0.29,0.26,4,95.66,4,1.02,2,75,10,12756.37,0.01,0.95,2.5,0,0.18,0.12,0.17,0,1,0.7,15,3,0.07,0.25,0.71
Tampico-Pánuco,Tamaulipas,2011,0.91,0,0.35,0.27,3.67,95.38,4.33,2.85,5,85,21,23070.64,0.01,1.59,1.2,0.01,0.79,0.48,0.2,0,1,0.81,11,6,0.01,0.24,0.77
Matamoros,Tamaulipas,2011,0.92,0,0.39,0.2,3,98.02,3.33,0.88,4,100,5,42001.75,0.01,1.84,1,0.02,0.97,0.72,0.24,0,2,0.78,4,0,0.02,0.41,0.78
Nuevo Laredo,Tamaulipas,2011,1,0,0.5,0.27,3.12,93.27,3.67,4.1,1,100,3,38614.83,0.03,0.95,1,0,1.12,0.61,0.23,0,2,0.68,3,5,0.01,0.52,0.82
Reynosa-Río Bravo,Tamaulipas,2011,0.96,0,0.36,0.21,3,83.17,3.33,1.99,6,100,9,26671.38,0.01,3.69,1,0.3,1.19,0.48,0.26,0.01,1,0.58,6,2,0,0.35,0.77
Ciudad Victoria,Tamaulipas,2011,0.97,0,0.43,0.21,2.17,27.54,4.67,3.83,1,100,4,41689.46,0.01,0.25,1,0,1.12,0.39,0.16,0.01,2,0.72,2,2,0,0.49,0.86
Tlaxcala-Apizaco,Tlaxcala,2011,0.98,0,0.6,0.53,3,86.73,2.33,1.59,4,90.79,15,24503.37,0.06,3.67,2.11,0,0.35,0.89,0.21,0,0,0.68,0,0,0.01,0.17,0.79
Veracruz,Veracruz,2011,0.95,0,0.51,0.39,3,102.69,2.67,3.89,1,90,22,27346.75,0.01,0.58,1.2,0,0.47,0.13,0.26,0.02,1,0.85,17,1,0,0.24,0.73
Córdoba,Veracruz,2011,0.96,0,0.59,0.5,2.89,23.08,2.67,0.15,1,81.25,8,12310.29,0.02,0.31,1,0.01,0.21,0.31,0.15,0,2,0.91,0,0,0.07,0.17,0.81
Orizaba,Veracruz,2011,0.91,0,0.62,0.59,2.31,109.59,2.67,2.9,5,72.92,41,16040.38,0.02,0.31,1.08,0,0.3,0.28,0.14,0,2,0.85,0,5,0.02,0.13,0.8
Xalapa,Veracruz,2011,0.98,0,0.5,0.5,3.05,45.75,4,1.46,0,89.29,32,19101.7,0.01,0.18,1.29,0.04,0.63,0.26,0.18,0,0,0.94,2,0,0.04,0.22,0.75
Poza Rica,Veracruz,2011,0.75,0,0.58,0.42,3,73.45,4,0.14,18,65,26,25929.87,0.01,6.73,1.2,0.02,0.12,0.01,0.12,0,0,0.86,5,0,0.06,0.17,0.8
Coatzacoalcos,Veracruz,2011,0.98,0,0.38,0.32,3.02,9.61,3,1.06,3,91.67,23,13479.88,0.01,0.54,1,0,0.2,0.05,0.2,0,2,0.85,0,0,0.05,0.17,0.76
Mérida,Yucatan,2011,0.93,1,0.68,0.68,3,175.2,3,0.49,5,90,3,13241.94,0.01,0.56,0.4,0,5.12,0.32,0.21,0.01,1,0.49,16,2,0.07,0.37,0.72
Zacatecas-Guadalupe,Zacatecas,2011,0.99,0,0.52,0.41,2,89.45,2.67,1.24,1,100,18,28433.05,0.18,0.69,3,0,1.9,0.21,0.21,0.01,2,0.77,7,1,0.04,0.4,0.84
Aguascalientes,Aguascalientes,2012,1,1,0.65,0.5,2,103.7,3,4.01,2,100,6,11542.03,0.16,0.94,2,0,4.8,0.35,0.2,0,1,0.68,13,9,0.01,0.35,0.81
Ensenada,Baja California,2012,0.92,0,0.49,0.27,2.11,91.26,2.67,1.85,0,100,2,27835.95,0.04,0.35,4,0.04,0.94,0.36,0.23,0,2,0.46,0,5,0,0.42,0.83
Mexicali,Baja California,2012,0.97,0,0.42,0.18,2.02,33.96,2.67,3.13,6,100,2,42121.74,0.01,1.66,6,0,1.78,0.4,0.23,0.01,2,0.84,4,7,0.02,0.57,0.81
Tijuana,Baja California,2012,0.97,0,0.44,0.24,2.13,52.89,2.33,2.05,17,100,3,19746.99,0.04,1.44,6,0.01,1.16,0.24,0.24,0,2,0.47,9,10,0.02,0.4,0.73
La Paz,Baja California Sur,2012,0.97,0,0.36,0.21,2.08,82.9,4,1.89,1,100,6,38670.01,0.02,0.88,1,0.01,0.29,0.12,0.2,0.02,2,0.44,7,2,0.67,0.56,0.85
Los Cabos,Baja California Sur,2012,0.94,0,0.41,0.24,2.01,87.14,4.33,2.14,1,100,5,32669.99,0.03,0.86,0,0,0.85,0.43,0.27,0.02,2,0.42,22,2,0,0.39,0.79
Campeche,Campeche,2012,0.93,0,0.59,0.4,3,329.2,4.33,0.51,1,100,2,24674.66,0,0.32,1,0,0.22,0.77,0.16,0.01,2,0.85,4,3,0,0.34,0.76
Ciudad del Carmen,Campeche,2012,0.89,0,0.41,0.34,3.01,108.33,4,0.19,3,75,3,13638.02,0.02,29.06,0,0.01,0.27,0.9,0.18,0.01,2,0.66,6,3,0,0.31,0.84
Saltillo,Coahuila,2012,0.97,0,0.54,0.32,2.03,5.71,3,1.81,5,91.67,20,9053.55,0.02,0.8,3,0,3.81,0.49,0.18,0,1,0.42,6,0,0,0.36,0.76
Monclova-Frontera,Coahuila,2012,0.99,0,0.4,0.21,2.16,148.1,3.67,1.87,1,100,13,28566.12,0.01,0.49,3,0,2.24,0.98,0.12,0,2,0.29,0,0,0,0.41,0.85
La Laguna,Coahuila,2012,0.93,0,0.64,0.44,2,112.83,4.33,2.4,4,100,15,11850.8,0.01,1.56,5.5,0,2.61,0.64,0.22,0,1,0.62,10,3,0.01,0.32,0.83
Piedras Negras,Coahuila,2012,0.99,0,0.41,0.21,3,75.56,5,1.94,0,100,8,19799.97,0.01,1.85,3,0,1.54,0.48,0.21,0,2,0.65,3,0,0.02,0.42,0.84
Tecomán,Colima,2012,0.94,0,0.42,0.19,3,131.29,4,2.37,0,75,6,36977.61,0,1.56,1,0,0.49,0.88,0.17,0.01,2,0.43,0,0,0.02,0.23,0.87
Colima-Villa de Álvarez,Colima,2012,0.99,0,0.62,0.36,2.48,187.41,4,2.85,1,95,15,33931.26,0.05,0,1.4,0,2.56,0.47,0.22,0.01,2,0.49,4,3,0.05,0.41,0.86
Manzanillo,Colima,2012,0.95,0,0.47,0.28,2.89,17.72,3.67,2.95,1,100,3,48525.56,0.01,2.53,1,0,0.4,0.49,0.25,0.02,2,0.46,10,3,0,0.29,0.82
Tuxtla Gutiérrez,Chiapas,2012,0.96,0,0.46,0.41,3.43,89.67,3.33,1.15,3,75,4,22816.41,0.01,0.53,2.67,0.06,1.19,0.3,0.16,0,0,0.54,9,3,0,0.21,0.73
Tapachula,Chiapas,2012,0.74,0,0.56,0.42,3,54.58,3.67,0.76,0,75,5,28398.06,0,0.38,2,0,0.09,0.26,0.17,0.01,2,0.39,2,3,0.02,0.14,0.85
Chihuahua,Chihuahua,2012,0.99,0,0.5,0.24,2.25,199.71,3.33,4.33,5,100,12,20235.75,0.02,1.46,2.33,0.01,2.18,0.27,0.21,0.01,2,0.73,15,6,0.04,0.51,0.79
Juárez,Chihuahua,2012,1,1,0.44,0.23,2.09,97.65,4,2.77,9,100,6,23180.69,0.02,4.17,3,0.03,2.01,0.74,0.25,0,1,0.43,6,6,0,0.39,0.73
Valle de México,Ciudad de México,2012,0.99,1,0.47,0.64,2.05,98.36,2.67,0.57,42,94.08,27,5128.5,0.03,0.52,11.96,0.01,1.43,0.41,0.14,0,3,0.62,28,33,0.12,0.19,0.59
Durango,Durango,2012,0.97,1,0.48,0.35,2.28,110.57,3.33,4.57,2,100,7,23133.57,0.1,1.26,4,0,1.75,0.36,0.18,0.02,1,0.57,7,2,0.01,0.32,0.84
Celaya,Guanajuato,2012,0.98,0,0.6,0.36,2,91.62,2.67,0.03,7,91.67,2,26730.91,0.08,0.34,7.33,0,0.55,0.27,0.2,0.01,0,0.39,0,5,0,0.26,0.81
Guanajuato,Guanajuato,2012,0.88,0,0.56,0.37,2,129.84,2.33,1.36,2,100,1,44167.34,0.05,0,10,0,0.44,0.75,0.17,0.01,2,0.59,0,4,0,0.16,0.74
Irapuato,Guanajuato,2012,0.95,0,0.62,0.42,2,102.61,2.33,2.2,2,100,1,23541.76,0.06,1.65,11,0.02,0.04,0.65,0.17,0.01,0,0.36,0,2,0,0.26,0.8
León,Guanajuato,2012,0.99,0,0.64,0.5,2,146.37,2.33,1.61,3,75,2,14911.55,0.08,0.24,11,0.02,1.15,0.35,0.17,0.01,3,0.37,15,7,0,0.28,0.74
La Piedad-Pénjamo,Guanajuato,2012,0.91,0,0.6,0.39,2,51.52,2.67,0.24,0,87.5,2,22697.88,0.11,0,2.5,0,0.34,0.35,0.24,0,2,0.29,0,1,0,0.24,0.86
San Francisco del Rincón,Guanajuato,2012,0.97,0,0.68,0.43,2,62.8,2,1.38,0,100,2,26292.28,0.12,0,6.5,0.01,0.3,0.48,0.2,0.01,2,0.33,0,0,0.01,0.25,0.89
Acapulco,Guerrero,2012,0.8,0,0.52,0.33,3.04,202.39,3.33,2.68,1,62.5,7,39658.35,0,0.64,3,0.01,0.3,0.37,0.29,0,2,0.31,18,8,0,0.11,0.69
Chilpancingo,Guerrero,2012,0.87,0,0.46,0.33,3.1,35.75,3.67,0.98,0,75,8,24371.01,0.01,0,4,0.06,0.07,0.1,0.19,0,2,0.54,0,2,0.01,0.15,0.85
Tula,Hidalgo,2012,0.94,0,0.63,0.45,2.48,85.05,4.67,0,4,100,0,31561.95,0.09,2.32,4,0.01,0.3,0.01,0.23,0,2,0.79,0,4,0,0.21,0.8
Tulancingo,Hidalgo,2012,0.96,0,0.59,0.43,2.22,44.76,3,0.1,1,91.67,3,35066.05,0.06,0,2,0.02,0.16,0.47,0.23,0,2,0.43,0,2,0.05,0.19,0.8
Pachuca,Hidalgo,2012,0.96,0,0.51,0.4,2.07,42.36,2.67,0.01,3,100,7,27252.7,0.07,0,4,0,1.34,0.13,0.31,0,2,0.48,0,4,0,0.27,0.77
Guadalajara,Jalisco,2012,1,0,0.49,0.4,2.06,33.08,3,0.63,12,96.88,2,13135.5,0.08,0.97,11,0.01,1.47,0.21,0.19,0.01,3,0.6,21,18,0.05,0.29,0.68
Puerto Vallarta,Jalisco,2012,0.99,0,0.46,0.35,3,125.39,4.33,4.01,1,100,2,36822.31,0.01,0,3,0,0.45,0.17,0.29,0.01,2,0.61,20,8,0,0.25,0.78
Toluca,Mexico,2012,0.9,0,0.65,0.59,2,59.26,2.67,1.27,5,90,1,6080.95,0.04,3.31,11,0,1.26,0.31,0.17,0.01,1,0.53,7,10,0.03,0.21,0.69
Zamora-Jacona,Michoacan,2012,0.99,0,0.62,0.33,2,45.12,3,1.04,0,100,4,17937.46,0.1,0.33,1,0,0.34,0.13,0.22,0.01,2,0.85,0,1,0,0.26,0.86
Morelia,Michoacan,2012,0.96,0,0.58,0.48,2.12,112.73,2.67,1.4,2,91.67,3,18557.12,0.13,1,2.67,0.02,1.89,0.21,0.27,0,0,0.66,10,9,0.02,0.27,0.72
Uruapan,Michoacan,2012,0.98,0,0.52,0.36,3.14,87.87,3.33,1.3,0,75,0,21163.42,0.06,1.35,1,0,1.53,0.1,0.16,0,2,0.81,1,2,0,0.27,0.82
Cuautla,Morelos,2012,0.94,0,0.67,0.45,2,89.9,3,2.17,2,83.33,2,21058.98,0.02,1.85,4,0.05,0.05,0.27,0.3,0,2,0.68,0,1,0,0.17,0.79
Cuernavaca,Morelos,2012,0.96,1,0.68,0.51,2.06,221.76,3,1.63,1,93.75,2,12630.58,0.02,1.4,4.13,0.01,0.73,0.27,0.28,0,0,0.89,0,10,0.04,0.24,0.72
Tepic,Nayarit,2012,0.96,0,0.55,0.31,3,122.73,3.33,3.11,0,100,0,16679.3,0.04,0.31,4,0,0.21,0.24,0.2,0,2,0.27,3,2,0.03,0.3,0.82
Monterrey,Nuevo Leon,2012,0.99,1,0.45,0.24,2.02,39.17,3.33,1.99,17,96.15,45,13971.99,0.01,1.52,9,0,3.16,0.32,0.19,0.01,3,0.72,19,13,0.01,0.37,0.65
Oaxaca,Oaxaca,2012,0.97,0,0.62,0.59,3,76.85,2.67,1.03,1,89.77,54,17829.88,0.02,0.36,1.18,0.09,0.27,0.11,0.2,0,1,0,10,2,0.01,0.2,0.74
Tehuantepec-Salina Cruz,Oaxaca,2012,0.73,0,0.53,0.42,3,1.98,3.33,1.48,8,66.67,17,38706.29,0,0,1,0.03,0.02,0.46,0.19,0,2,0,0,1,0,0.13,0.87
Puebla-Tlaxcala,Puebla,2012,0.96,1,0.66,0.51,2.88,68.17,2.33,1,5,87.18,14,12943.07,0.04,2.16,4.46,0.05,0.64,0.45,0.19,0,2,0.59,8,4,0.01,0.19,0.7
Tehuacán,Puebla,2012,0.93,0,0.64,0.48,3,62.32,3,0,0,75,0,13528.27,0.03,0.52,4,0.16,0.27,0.57,0.19,0,2,0,0,0,0,0.13,0.86
Querétaro,Queretaro,2012,0.99,0,0.58,0.47,2.02,87.44,2.33,1.44,7,87.5,0,9601.64,0.07,0.94,5,0,1.28,0.21,0.21,0,1,0.7,7,16,0.01,0.36,0.74
San Juan del Río,Queretaro,2012,0.98,0,0.68,0.46,2,96.54,2.33,1.91,3,100,1,14134.9,0.06,2.76,2,0,0.7,0.51,0.22,0,2,0.71,0,4,0.07,0.24,0.78
Cancún,Quintana Roo,2012,0.95,1,0.52,0.41,3,149.48,4.33,2.04,1,87.5,0,30750.3,0.01,0.16,4,0,2.15,0.3,0.23,0.01,1,0.98,41,1,0.05,0.27,0.7
Chetumal ,Quintana Roo,2012,0.84,0,0.49,0.44,3.09,257.57,4.33,0.12,0,75,2,89881.88,0.02,0,4,0,0.2,0.25,0.17,0.01,2,0.37,2,2,0,0.39,0.9
Rioverde-Ciudad Fernández,San Luis Potosi,2012,0.76,0,0.64,0.43,3.06,74.43,4.33,1.09,0,75,3,36186.41,0.02,0,1,0,0.22,0.09,0.21,0,2,0.46,0,0,0.05,0.22,0.93
San Luis Potosí-Soledad,San Luis Potosi,2012,0.98,0,0.53,0.4,2.02,91.63,3.67,1.77,2,100,3,16460.73,0.06,0.52,3,0.01,3.01,0.43,0.19,0.01,1,0.96,13,15,0,0.35,0.77
Los Mochis,Sinaloa,2012,0.95,0,0.38,0.21,3,127.48,4.33,2.47,0,100,2,31164.66,0.01,0.8,0,0,0.92,0.39,0.21,0.01,2,0.15,3,2,0,0.39,0.85
Culiacán,Sinaloa,2012,0.96,1,0.32,0.19,2.44,185.25,4.33,2.75,8,100,2,31248.66,0.01,0.77,1,0.01,1.32,0.32,0.22,0.01,1,0.39,8,2,0.04,0.42,0.81
Mazatlán,Sinaloa,2012,0.97,0,0.43,0.27,3,323.15,4,2.85,5,100,4,27746.05,0.01,0.63,0,0,0.78,0.43,0.22,0.01,2,0.42,13,4,0,0.3,0.81
Ciudad Obregón ,Sonora,2012,0.96,0,0.37,0.21,2.02,239.96,4,3.94,5,100,2,28709.73,0.01,0.7,1,0.01,0.23,0.44,0.21,0.01,2,0,5,4,0,0.36,0.85
