ciudad,cve_ent,year,Porcentaje de vivienda con disposición adecuada de residuos,Existencia de aprovechamiento o quema de biogás en rellenos sanitarios,Porcentaje de las vivienda que regalan o venta de residuos reciclables,Porcentaje de las viviendas que realizan separación básica de residuos,Índice de disponibilidad de acuíferos,Consumo de agua (Metros cúbicos per cápita),Índice de calidad del agua superficial,Capacidad de tratamiento de agua en operación,Número de emergencias ambientales reportadas,Índice de Resiliencia a desastres naturales,Número de declaratorias de desastre en los últimos tres años ,Intensidad energética en la economía  (KWh al año por cada millón de PIB),Porcentaje de viviendas que cuentan con electricidad o boiler,"Número de empresas certificadas como ""limpia"" (de cada mil)",Índice de gestión de calidad del aire,Porcentaje de hogares con Agua surtida por pipas,Áreas verdes urbanas per cápita (m2 por habitante),Viviendas intraurbanas (porcentaje de las viviendas vigentes),Viviendas deshabitadas (porcentaje de las viviendas vigentes),Crecimiento de la mancha urbana (Tasa promedio de crecimiento anual),"Sistema de transporte masivo (no hay,  aprobado, en construcción, listo)",Red carretera avanzada (porcentaje del total de la red),Número de aerolineas que operan en ele aeropuerto,Número de líneas de autobús,Porcentaje de fondos federales para movilidad (transporte no motorizado),Porcentaje de las personas que viajan a la escuela o el trabajo en automóvil particular ,Porcentaje de personas que llegan a la escuela o al trabajo en menos de 30 minutos 
Toluca,Mexico,2008,0.9,0,0.65,0.59,2,61.82,2.67,1.02,3,90,0,7261.84,0.04,2.79,11,0.03,1.26,0.31,0.17,0.01,0,0.81,7,10,0.03,0.21,0.69
Zamora-Jacona,Michoacan,2008,0.99,0,0.62,0.33,2,34.18,4.33,0.97,1,100,0,23536.62,0.1,0.36,1,0,0.34,0.13,0.22,0.01,2,0.84,0,1,0,0.26,0.86
Morelia,Michoacan,2008,0.96,0,0.58,0.48,2.12,121.07,3,1.16,2,91.67,0,19061.79,0.13,0.23,2.67,0.01,1.89,0.21,0.27,0,0,0.66,10,9,0.02,0.27,0.72
Uruapan,Michoacan,2008,0.98,0,0.52,0.36,3.14,90.15,3.67,1.39,0,75,0,22557.28,0.06,0.3,1,0,1.53,0.1,0.16,0,2,0.82,1,2,0,0.27,0.82
Cuautla,Morelos,2008,0.94,0,0.67,0.45,2,95.44,3,1.59,1,83.33,0,31320.07,0.02,1.53,4,0.05,0.05,0.27,0.3,0,2,1,0,1,0,0.17,0.79
Cuernavaca,Morelos,2008,0.96,1,0.68,0.51,2.06,213.24,3,0.56,4,93.75,0,17260.26,0.02,1.33,4.13,0.03,0.73,0.27,0.28,0,0,1,0,10,0.04,0.24,0.72
Tepic,Nayarit,2008,0.96,0,0.55,0.31,3,121.22,3.67,1.52,0,100,0,20999.46,0.04,0.3,4,0,0.21,0.24,0.2,0,2,0.44,3,2,0.03,0.3,0.82
Monterrey,Nuevo Leon,2008,0.99,1,0.45,0.24,2.02,42.16,3.67,1.44,7,96.15,4,17448.64,0.01,1.12,9,0.01,3.16,0.32,0.19,0.01,3,0.74,19,13,0.01,0.37,0.65
Oaxaca,Oaxaca,2008,0.97,0,0.62,0.59,3,80.37,2.33,0.64,1,89.77,0,21478.33,0.02,0.54,1.18,0.06,0.27,0.11,0.2,0,0,0,10,2,0.01,0.2,0.74
Tehuantepec-Salina Cruz,Oaxaca,2008,0.73,0,0.53,0.42,3,2.09,3.33,0.85,6,66.67,10,58932.33,0,3.28,1,0.01,0.02,0.46,0.19,0,2,0,0,1,0,0.13,0.87
Puebla-Tlaxcala,Puebla,2008,0.96,1,0.66,0.51,2.88,60.41,2.33,0.42,1,87.18,4,15757.37,0.04,1.55,4.46,0.04,0.64,0.45,0.19,0,0,0.59,8,4,0.01,0.19,0.7
Tehuacán,Puebla,2008,0.93,0,0.64,0.48,3,57.85,3.33,0.01,0,75,0,14583.29,0.03,0,4,0.03,0.27,0.57,0.19,0,2,0,0,0,0,0.13,0.86
Querétaro,Queretaro,2008,0.99,0,0.58,0.47,2.02,90.36,1.67,0.7,6,87.5,0,12382.33,0.07,1.32,5,0.01,1.28,0.21,0.21,0,0,0.65,7,16,0.01,0.36,0.74
San Juan del Río,Queretaro,2008,0.98,0,0.68,0.46,2,105.43,3,0.5,1,100,0,17030.41,0.06,1.51,2,0.01,0.7,0.51,0.22,0,2,0.55,0,4,0.07,0.24,0.78
Cancún,Quintana Roo,2008,0.95,1,0.52,0.41,3,6.73,4.67,1.91,0,87.5,0,31336.18,0.01,0.14,4,0,2.15,0.3,0.23,0.01,0,0.98,41,1,0.05,0.27,0.7
Chetumal ,Quintana Roo,2008,0.84,0,0.49,0.44,3.09,252.4,4.33,0.41,0,75,1,73955.45,0.02,0,4,0,0.2,0.25,0.17,0.01,2,0.34,2,2,0,0.39,0.9
