ciudad,robo_mercancias,esc_buenDesempeno,mortalidad_infantil,tasa_suicidios,muerte_infIntes,empl_formales,densidad_pobl,sal_trabTiemCompl,gini_salarial,diversif_econ,desempleo,tarjetasDebCred,pib,ingresos_propios,percepcionSeguridad,desastres,vivendas_deshabitadas,inversion_extranjera,empresas
Chihuahua,89.30415553,0.230645161,13.38333226,10.72199955,7.074308984,0.721270027,34.36770112,6571.055383,0.411,705,0.051735423,2.000295286,139552081.3,0.404841925,0.085409041,0,0.205441298,650.4478452,27.90307108
Juýrez,4.006250828,0.180589681,13.89236546,4.132935508,2.392752136,0.673300822,40.8861806,6382.725115,0.431,640,0.037339213,1.693370952,157866880,0.431366291,0.085409041,2,0.254106476,704.179241,10.01271556
Valle de Mýxico,153.6172689,0.318222585,11.7127679,4.452684296,3.135693166,0.465706276,104.1326609,5911.198739,0.374644737,918,0.069171564,2.878761394,4070736210,0.40876432,0.164403267,0,0.138569562,8337.869311,16.08574946
Durango,51.56882658,0.280597015,16.18145845,7.972935791,3.126641487,0.541447096,68.10978792,5260.11524,0.336,619,0.065190562,1.691551109,35118191.41,0.308262587,0.095654968,0,0.178803655,54.11413708,24.5747917
Celaya,69.12781722,0.225969646,10.2915952,8.428404678,3.33955657,0.461964832,75.60419036,5414.289302,0.345333333,615,0.046162108,1.481504811,99633068.91,0.370036174,0.446957795,0,0.19624868,116.0949523,17.46866231
Guanajuato,1382.149289,0.182741117,12.82782212,7.156186523,1.651427659,0.393673152,68.47159695,5723.31526,0.348,371,0.05807711,2.547278779,10045935.63,0.382613157,0.446957795,0,0.171360132,10.45992689,34.77410416
Irapuato,19.29580548,0.241293532,14.13673233,7.609703611,2.47757792,0.416821056,86.51246815,6244.590975,0.412977082,586,0.060411671,1.330336476,65280429.71,0.328341626,0.446957795,5,0.16516387,60.36289521,19.58881579
Leýn,54.56462783,0.209613869,8.565809223,7.203572972,2.650914854,0.501654511,87.83547059,5823.083521,0.3825,734,0.05870723,1.476240823,301772896.8,0.314129028,0.446957795,2,0.167141313,277.9194009,25.57628451
La Piedad-Pýnjamo,183.9719348,0.247734139,13.25255585,5.526890295,2.763445148,0.380391297,72.512508,5202.265085,0.3875,456,0.044069111,1.089467951,11322125.82,0.159560435,0.343582481,2,0.236385473,14.4728601,10.83592371
San Francisco del Rincýn,70.98167989,0.203539823,13.02708262,9.194791661,0,0.340929576,77.86563174,5192.024498,0.385,435,0.041017027,0.926068694,15891564.38,0.245025022,0.446957795,2,0.200345457,15.98639988,13.94582789
Acapulco,18.67299958,0,10.33947958,1.586914754,1.586914754,0.336454647,65.63712825,4915.402627,0.281,570,0.027579944,1.377603467,30312946.29,0.253725465,0.228106731,0,0.29188904,44.00248165,17.46622262
